bathrooms,indoor_surface,communal_pool,u/f_heating_climate_control,gym,communal_garden,domotics,private_pool,private_garden,barbeque,jacuzzi,luxury,bedrooms,alarm_system_security,games_room,price_log,price_raw
0.33934363298846004,0.7632395819787492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13636363636363635,0.0,0.0,13.805461232211272,990000
0.2398124665681314,0.4123876881614533,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,12.296831574998258,219000
0.3800937667159344,0.7254098079977729,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.13636363636363635,0.0,0.0,12.826651821423713,372000
0.5329574082430156,0.9384446704702487,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.22727272727272724,0.0,1.0,15.679590843810702,6450000
0.3800937667159344,0.7783595456770938,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0909090909090909,0.0,1.0,14.272936037914342,1580000
0.09953116642032861,0.34962778331599953,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.278397958261774,215000
0.2398124665681314,0.42892129110009836,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0909090909090909,0.0,0.0,12.834683971615659,375000
0.5791560995565915,0.7778374778339543,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.22727272727272724,1.0,0.0,13.997832948091215,1200000
0.09953116642032861,0.32953550435588896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.045454545454545456,0.0,0.0,12.454965811586716,256520
0.33934363298846004,0.5980649784118113,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13636363636363635,0.0,0.0,12.91164481522143,405000
